Model,Budget,Log Loss,Binary Err Rate,Specificity,Precision,Recall,Npv,F1,Roc Auc
Adversarial-Boosting [b=15],5,0.32065037104877525,0.14571586511885018,0.9664616285881664,0.8312453942520265,0.5087956698240866,,0.6312255176273084,0.9110825862569656
Adversarial-Boosting [b=150],5,0.32107801488798765,0.14571586511885018,0.9670474516695958,0.8332097850259451,0.5069914298601714,,0.6303982052720135,0.9109045536448264
Adversarial-Boosting [b=300],5,0.32071412510872155,0.1454947484798231,0.9677797305213826,0.8359433258762118,0.505638249887235,,0.6301292861157954,0.9114216739742613
Non-Interferent [b=5],5,0.31309652010576083,0.14427860696517414,0.9200351493848857,0.7275449101796407,0.6576454668470907,,0.6908315565031984,0.9085666782668621
Non-Interferent [b=15],5,0.3134530902706581,0.14461028192371475,0.9190099589923842,0.7255583126550869,0.6594497068110059,,0.6909262759924386,0.9085113197032356
Non-Interferent [b=150],5,0.313140679082205,0.14538419016030957,0.917252489748096,0.7219488188976378,0.6617050067658998,,0.6905154153918569,0.9086978080386977
Non-Interferent [b=300],5,0.31280268248187604,0.14405749032614704,0.9187170474516696,0.7257905138339921,0.6626071267478575,,0.6927611412402734,0.9089739072232752
Baseline [GBDT],15,0.3451711666263298,0.16274184632393587,0.9028998242530756,0.6798647996137132,0.6350924672981506,,0.6567164179104477,0.888037536277035
Adversarial-Boosting [b=5],15,0.3327938863487784,0.1498065229408513,0.9585530169888694,0.8018207282913166,0.5164636896707262,,0.6282578875171468,0.8981261060152167
Adversarial-Boosting [b=15],15,0.3223895732868443,0.14615809839690436,0.965875805506737,0.8288023512123439,0.5087956698240866,,0.6305198434879821,0.9092284377073467
Adversarial-Boosting [b=150],15,0.32278532831868223,0.14604754007739082,0.9666080843585237,0.8313609467455622,0.5069914298601714,,0.6298683104511067,0.9090688359296368
Adversarial-Boosting [b=300],15,0.32242940929588026,0.14571586511885018,0.9674868189806678,0.8346984363365599,0.505638249887235,,0.6297752808988765,0.9095722817690113
Non-Interferent [b=5],15,0.32720291877394053,0.14925373134328357,0.913444639718805,0.7115666178623719,0.6576454668470907,,0.6835443037974683,0.8998593641454607
Non-Interferent [b=15],15,0.3276799793003625,0.1495854063018242,0.9124194493263035,0.7097087378640776,0.6594497068110059,,0.6836567687631517,0.8998650783647371
Non-Interferent [b=150],15,0.327901802152346,0.15190713101160863,0.9086115992970123,0.7015781922525107,0.6617050067658998,,0.681058495821727,0.8996741970167681
Non-Interferent [b=300],15,0.3264420796642143,0.14870093974571585,0.9125659050966608,0.7110358180058083,0.6626071267478575,,0.6859677795937428,0.9006305195064288
Baseline [GBDT],150,0.37034418783359613,0.17501381978993918,0.8866432337434095,0.6452795600366636,0.6350924672981506,,0.6401454876108206,0.8769498039197035
Adversarial-Boosting [b=5],150,0.35170966047921515,0.1574350469872858,0.9484475688342121,0.7648630594522378,0.5164636896707262,,0.6165858912224016,0.8880277923771126
Adversarial-Boosting [b=15],150,0.3407373536806173,0.15389718076285241,0.9556239015817223,0.7882599580712788,0.5087956698240866,,0.618421052631579,0.8990990757101683
Adversarial-Boosting [b=150],150,0.3276284727329461,0.14770591487009396,0.9644112478031635,0.8222384784198976,0.5069914298601714,,0.6272321428571429,0.9069294058083948
Adversarial-Boosting [b=300],150,0.3262600309216191,0.14715312327252625,0.9655828939660223,0.8266961651917404,0.505638249887235,,0.6274839070808843,0.9075906037360029
Non-Interferent [b=5],150,0.360458808573159,0.16108347153123273,0.8977738722905683,0.6762523191094619,0.6576454668470907,,0.6668191173107706,0.8885518820722547
Non-Interferent [b=15],150,0.3613809755357004,0.1609729132117192,0.8973345049794962,0.675913083680074,0.6594497068110059,,0.6675799086757991,0.888441726457879
Non-Interferent [b=150],150,0.36220186260022275,0.16362631288004423,0.893087287639133,0.6677287209831588,0.6617050067658998,,0.6647032170367014,0.8882637929362471
Non-Interferent [b=300],150,0.3615836922281219,0.16064123825317855,0.8967486818980668,0.6757129714811407,0.6626071267478575,,0.6690958779321339,0.8889153790846098
Baseline [GBDT],300,0.3955334731729833,0.18264234383637368,0.8765377855887522,0.6254997778764994,0.6350924672981506,,0.630259623992838,0.8691723551224111
Adversarial-Boosting [b=5],300,0.371742245270811,0.1653952459922609,0.9379027533684827,0.7297641810070108,0.5164636896707262,,0.6048600105652404,0.8805908515943927
Adversarial-Boosting [b=15],300,0.35940592819714895,0.1613045881702598,0.9458113649677797,0.753004005340454,0.5087956698240866,,0.6072678331090176,0.8919425940943643
Adversarial-Boosting [b=150],300,0.34060738047743305,0.15323383084577114,0.9570884592852958,0.7932251235003529,0.5069914298601714,,0.6186020913593837,0.9013895527952904
Adversarial-Boosting [b=300],300,0.32844432856398026,0.1480375898286346,0.9644112478031635,0.8218475073313783,0.505638249887235,,0.6260820999720749,0.9064243745208974
Non-Interferent [b=5],300,0.39558328289970646,0.1691542288557214,0.8870826010544816,0.6541049798115747,0.6576454668470907,,0.6558704453441295,0.8805902900815158
Non-Interferent [b=15],300,0.3972604137016745,0.1689331122166943,0.8867896895137668,0.6541387024608502,0.6594497068110059,,0.6567834681042227,0.8805554432529802
Non-Interferent [b=150],300,0.398421832480551,0.17191818684355997,0.8821031048623316,0.6456866197183099,0.6617050067658998,,0.6535976832256626,0.8802753143877566
Non-Interferent [b=300],300,0.39731282066488,0.16882255389718076,0.8859109548916227,0.6534697508896797,0.6626071267478575,,0.6580067189249721,0.8809490968098405
