Model,N. of Trees,Binary Logloss,Binary Err Rate,Roc Auc,Binary Logloss Under Max Attack,Binary Err Rate Under Max Attack,Roc Auc Under Max Attack
Baseline (p=1.0; n=1),120,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),130,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),140,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),150,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),160,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),170,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),180,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),190,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),200,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=max),0,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),10,0.43625002414883796,0.20166002656042498,0.8374441377997716,0.4424568958176131,0.2160026560424967,0.8309127093642938
Baseline (p=1.0; n=max),20,0.3682936936380208,0.16699867197875165,0.8737817377236392,0.38372325023426623,0.1749003984063745,0.8620053411686335
Baseline (p=1.0; n=max),30,0.3434425969465079,0.15783532536520584,0.8910995788922725,0.36076423212248837,0.16513944223107568,0.878775456794823
Baseline (p=1.0; n=max),40,0.3302400897681701,0.15245683930942894,0.8991968619147317,0.3485164181369089,0.15883134130146082,0.8870135373049104
Baseline (p=1.0; n=max),50,0.32316556169857336,0.14833997343957503,0.9034429125428245,0.3431495445485943,0.15783532536520584,0.8905572777883517
Baseline (p=1.0; n=max),60,0.31953813517125473,0.14747675962815404,0.9053623310810812,0.33947583724258673,0.15763612217795483,0.892721129139703
Baseline (p=1.0; n=max),70,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),80,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),90,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),100,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),110,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),120,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),130,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),140,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),150,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),160,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),170,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),180,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),190,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Baseline (p=1.0; n=max),200,0.31664035679050057,0.1455511288180611,0.907033581556909,0.3370595085383423,0.15770252324037184,0.8939000999238675
Standard,0,0.31737256236770667,0.1460823373173971,0.9077255900266463,0.3970802756031499,0.19143426294820717,0.8535210791777693
Standard,10,0.41090244380485796,0.1809428950863214,0.8527154548915113,0.41728969151547723,0.19608233731739708,0.8446499928625808
Standard,20,0.412396436334198,0.18605577689243027,0.8328743457365817,0.47136426614542476,0.2246347941567065,0.7717063665778454
