Model,Budget,Log Loss,Binary Err Rate,Specificity,Sensitivity,F1,Roc Auc
non-interferent [B=40],0,0.4521824836478131,0.196771714066103,0.6610878661087866,0.8857837181044957,0.781176742670325,0.8598783916378999
non-interferent [B=40],0,0.44141708698668003,0.19369715603382015,0.702928870292887,0.8663426488456865,0.7885469715028712,0.8685084164984722
std-gbdt,0,0.44155243124135835,0.1929285165257494,0.7071129707112971,0.8651275820170109,0.7896916710943663,0.8688185381576741
adv-boosting [B=20],20,0.47491351019548106,0.2175249807840123,0.6694560669456067,0.8481166464155528,0.7624192029899652,0.8461567792086305
adv-boosting [B=30],20,0.4755527756830879,0.207532667179093,0.6799163179916318,0.8578371810449574,0.772999276223957,0.847959043605139
adv-boosting [B=40],20,0.4810638135165106,0.21137586471944658,0.6757322175732218,0.8541919805589308,0.7689092049417356,0.8416778090158975
non-interferent [B=20],20,0.5851074752158651,0.3520368946963874,0.30962343096234307,0.8444714459295262,0.5723687232307921,0.7373981301189139
non-interferent [B=20],20,0.5783678543557306,0.3543428132205995,0.2928870292887029,0.850546780072904,0.565075732359875,0.7452287020137571
non-interferent [B=20],20,0.5616501758865813,0.3059185242121445,0.4205020920502092,0.8529769137302552,0.6408171476137625,0.7796433092523017
non-interferent [B=20],20,0.5587371657186647,0.3013066871637202,0.39539748953974896,0.8748481166464156,0.6384676458912266,0.7866439244116585
non-interferent [B=20],20,0.5621254945896295,0.2736356648731745,0.5,0.8578371810449574,0.6858920103736016,0.7936343716477627
non-interferent [B=20],20,0.5601488885912412,0.2582628747117602,0.5146443514644351,0.8736330498177399,0.7024002091400748,0.7977600065074709
non-interferent [B=30],20,0.5844184261058922,0.3543428132205995,0.303347280334728,0.8444714459295262,0.5685486162516249,0.7377324005958402
non-interferent [B=30],20,0.5790754525827014,0.35818601076095313,0.2803347280334728,0.8517618469015796,0.5578289738547981,0.7440149061754882
non-interferent [B=30],20,0.5519831785518131,0.29285165257494233,0.4372384937238494,0.8639125151883353,0.6559197332772455,0.7873505950777083
non-interferent [B=30],20,0.5446016522889779,0.2851652574942352,0.4309623430962343,0.8797083839611178,0.6611115674830107,0.7948036828218021
non-interferent [B=30],20,0.550590858860402,0.2797847809377402,0.4456066945606695,0.8797083839611178,0.6691787520608042,0.7957670935499779
non-interferent [B=30],20,0.5698155087943716,0.27132974634896234,0.497907949790795,0.8626974483596598,0.6875440956255099,0.7906526281539628
non-interferent [B=40],20,0.5835740806709034,0.34896233666410453,0.3158995815899582,0.8456865127582017,0.5767668690203902,0.7389144216739452
non-interferent [B=40],20,0.5769846958146682,0.3528055342044581,0.2907949790794979,0.8541919805589308,0.5655461420656891,0.7468898864751369
non-interferent [B=40],20,0.5618467306950378,0.3005380476556495,0.42677824267782427,0.8578371810449574,0.6468887551480393,0.778583303253227
